user,item,rating
user236,Gà Rán Popeyes - Điện Biên Phủ,10.0
user236,Kebaby - Doner Kebab,8.6
user236,"Thiên Ân Quán - Cơm, Bún Riêu & Bún Mắm",8.2
user236,Tini Tea - Đường Số 42,9.7
user237,Trà Sữa Panda Milktea,6.0
user238,KOI Thé - Võ Văn Ngân,5.0
user239,Bánh Cuốn Ba Miền - Trường Chinh,7.4
user240,Gà Rán Popeyes - Điện Biên Phủ,8.2
user241,Tuấn Cò - Cơm Gà Xối Mỡ,10.0
user242,Phi Phi Quán - Cơm Gà Xối Mỡ,9.0
user243,Gà Rán Popeyes - Điện Biên Phủ,8.0
user244,SteakZone,9.0
user245,Tiệm Bánh Mỹ Phụng,6.8
user246,Phá Lấu Rubi - Nguyễn Hồng Đào,7.0
user247,Pad Thái Tôm - Món Thái Ngon - Shop Online,10.0
user248,Kebaby - Doner Kebab,10.0
user249,Cơm Gà Xối Mỡ Su Su,2.6
user250,Cơm Gà Xối Mỡ Su Su,3.4
user250,Gà Rán Popeyes - Điện Biên Phủ,1.0
user251,Phá Lấu Rubi - Nguyễn Hồng Đào,1.0
user252,Tuấn Cò - Cơm Gà Xối Mỡ,10.0
user253,Quán Nem - Nem Cua Biển & Bún Chả - Nguyễn Thị Minh Khai,9.4
user254,The Pizza Company - Đường D2,9.0
user255,Bún Nước Tương Mr Nhoi - Nguyễn Thượng Hiền,9.8
user256,Phi Phi Quán - Cơm Gà Xối Mỡ,8.4
user257,Xôi Gà Bà Chiểu,1.0
user258,Trà Sữa Panda Milktea,7.8
user258,Điểm Tâm 288 - Bún Thịt Xào & Cháo Bắc Thảo,7.933333333333334
user259,Bún Thịt Nướng Anh Ba,1.4
user260,"Cơm Gà, Cháo, Miến Gỏi Gà Ta Tường Vy - Lữ Gia",9.4
user261,Trà Sữa Tiên Hưởng Gotcha - Huỳnh Mẫn Đạt,3.4
user262,Huyền - Bún Nước & Mì Cay Muối Ớt,1.0
user263,"Cơm Gà, Cháo, Miến Gỏi Gà Ta Tường Vy - Lữ Gia",9.8
user264,Quán Thúy 94 - Miến Cua,8.6
user265,A Tùng - Bánh Mì Bò Nướng Bơ Cambodia - Lê Hồng Phong,7.4
user266,Pad Thái Tôm - Món Thái Ngon - Shop Online,9.2
user267,Gà Rán KFC - Co.op Mart Nguyễn Ảnh Thủ - 2 Miếng Gà Xốt Mắm Tỏi,9.8
user267,Gà Rán KFC - Co.op Mart Nguyễn Ảnh Thủ - COMBO 2 NGƯỜI 124K,9.8
user267,Gà Rán KFC - Co.op Mart Nguyễn Ảnh Thủ - COMBO ĐẬM VỊ,9.8
user267,Gà Rán KFC - Co.op Mart Nguyễn Ảnh Thủ - COMBO ĐẬM ĐÀ,9.8
user267,Gà Rán KFC - Co.op Mart Nguyễn Ảnh Thủ - Combo Cơm Trưa Gà Mắm Tỏi,9.8
user267,Gà Rán KFC - Co.op Mart Nguyễn Ảnh Thủ - Combo Cơm Trưa Gà Viên Nanban,9.8
user267,Gà Rán KFC - Co.op Mart Nguyễn Ảnh Thủ - Combo Cơm Trưa Phi-lê Gà Quay,9.8
user267,Gà Rán KFC - Co.op Mart Nguyễn Ảnh Thủ - Combo Trưa Burger Tôm,9.8
user267,Gà Rán KFC - Co.op Mart Nguyễn Ảnh Thủ - Combo Trưa Mì Ý,9.8
user268,Gà rán và Mì Ý - Jollibee - Pasteur,1.0
user269,Súp Cua Nhà Thờ Đức Bà,7.0
user270,Cháo Ếch Tân Định - Hai Bà Trưng,1.0
user271,Chị Hà - Bánh Tráng Trộn & Bánh Mì Nướng Muối Ớt,1.0
user271,Quán Chà Bá - Mực Chiên & Bò Viên - Mai Xuân Thưởng,5.0
user272,Gà Nướng Anh Tư,8.2
user273,Chị Mai - Bánh Tráng Trộn & Nước Cam,9.4
user274,Cơm Gà Hải Nam - Hậu Giang,10.0
user275,Quán Thúy 94 - Miến Cua,8.4
user276,Quán Chà Bá - Mực Chiên & Bò Viên - Mai Xuân Thưởng,5.0
user277,Kebab Sài Gòn - Nguyễn Thượng Hiền,5.2
user278,Mì Xào Giòn - 111 Vạn Kiếp,7.8
user279,Quán Nem - Nem Cua Biển & Bún Chả - Nguyễn Thị Minh Khai,4.2
user280,Fruit Crush - Trái Cây Tươi & Ăn Vặt - Quận 1,9.6
user281,Phá Lấu Nga - Tôn Đản,7.4
user281,Tiệm Cô Béo Bún Thái Lan,7.2
user281,Trà Sữa Wozzi,7.6
user282,Mì Xào Giòn - 111 Vạn Kiếp,1.0
user283,Cơm Tấm Kiều Giang - Trần Quang Khải,2.6
user283,Gà Nướng Anh Tư,3.4
user284,Gà Nướng Anh Tư,6.4
user285,Mì Xào Giòn - 111 Vạn Kiếp,7.6
user286,Gà Rán & Burger McDonald’s Vincom Masteri,4.4
user287,Gà Rán Popeyes - Tùng Thiện Vương,8.4
user288,Cô Thúy - Hột Vịt Lộn,1.8
user289,Buzza Pizza - Nowzone,1.6
user290,Bánh Cuốn Ba Miền - Trường Chinh,9.6
user291,Gà Nướng Anh Tư,7.0
user291,Gà Nướng Lu Việt Hương - Lê Quang Định,7.0
user291,Quán Thảo Hiền - Đặc Sản Miền Trung,2.2
user292,Gỏi Khô Bò - Công Viên Lê Văn Tám,5.6
user292,Quán Chà Bá - Mực Chiên & Bò Viên - Mai Xuân Thưởng,5.8
user293,Buzza Pizza - Nowzone,1.0
user294,Tuấn Cò - Cơm Gà Xối Mỡ,5.0
user295,Gà rán và Mì Ý - Jollibee - Pasteur,5.4
user296,Jeju Quán - Món Ăn Hàn Quốc,9.2
user297,Tiệm Cô Béo Bún Thái Lan,6.8
user298,Fruit Crush - Trái Cây Tươi & Ăn Vặt - Quận 1,9.6
user299,Cháo Sườn Chú Chen - Nguyễn Trãi,8.0
user300,Gà Rán Popeyes - Điện Biên Phủ,8.0
user301,Cheese Coffee - Hồng Bàng,6.8
user301,Fruit Crush - Trái Cây Tươi & Ăn Vặt - Quận 1,7.2
user302,Cô Thủy - Quán Ăn Vặt - Lê Thúc Hoạch,4.0
user303,Trà Sữa Panda Milktea,10.0
user304,Quán Chà Bá - Mực Chiên & Bò Viên - Mai Xuân Thưởng,5.0
user305,Xôi Gà Bà Chiểu,2.6
user306,KOI Thé - Võ Văn Ngân,8.2
user306,Tiệm Cô Béo Bún Thái Lan,8.066666666666666
user307,Gà Rán KFC - Central Plaza,6.8
user308,Bà Hai - Bánh Xèo & Bánh Khọt,7.2
user309,Jeju Quán - Món Ăn Hàn Quốc,9.4
user310,Tini Tea - Đường Số 42,3.8
user311,Quán 79 Nem Nướng,2.2
user312,Phá Lấu Nga - Tôn Đản,6.6
user313,Gà Rán Popeyes - Tùng Thiện Vương,6.4
user313,Huyền - Bún Nước & Mì Cay Muối Ớt,1.0
